ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
72362357;11.8;32.1;0;0;0;-74.5;-0.14;0;-0.12;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.032;-0.013;72362250;0.0286;0.0001;0.339;0.0016;0.703;39.846;0;-0.09;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362394;11.8;32.1;0;0;0;-74.4;-0.14;0;-0.12;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;134.994;0;101;0.032;-0.013;72362357;0.0286;0.0001;0.339;0.0016;0.703;39.846;0;-0.22;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362425;11.8;32.1;0;0;0;-74.6;-0.14;0;-0.12;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.033;-0.013;72362394;0.0286;0.0001;0.339;0.0016;0.703;39.847;0;-0.09;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362455;11.8;32.1;0;0;0;-74.5;-0.15;0;-0.13;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.034;-0.012;72362425;0.0286;0.0001;0.339;0.0016;0.703;39.848;0;-0.17;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362488;11.8;32.1;0;0;0;-74.5;-0.15;0;-0.13;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.032;-0.013;72362456;0.0286;0.0001;0.339;0.0016;0.703;39.848;0;-0.2;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362518;11.8;32.1;0;0;0;-74.6;-0.15;0;-0.13;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.033;-0.013;72362488;0.0286;0.0001;0.339;0.0016;0.703;39.849;0;-0.28;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362550;11.8;32.1;0;0;0;-74.6;-0.15;0;-0.12;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.032;-0.013;72362519;0.0286;0.0001;0.339;0.0016;0.703;39.85;0;-0.24;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362580;11.8;32.1;0;0;0;-74.5;-0.15;0;-0.13;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.033;-0.012;72362550;0.0286;0.0001;0.339;0.0016;0.703;39.851;0;-0.12;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362611;11.8;32.1;0;0;0;-74.5;-0.14;0;-0.12;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.031;-0.015;72362580;0.0286;0.0001;0.339;0.0016;0.703;39.851;0;-0.21;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362644;11.8;32;0;0;0;-74.6;-0.16;0;-0.14;0.07;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.033;-0.012;72362611;0.0286;0.0001;0.339;0.0016;0.703;39.852;0;-0.24;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72362673;11.8;32.1;0;0;0;-74.7;-0.13;0;-0.11;0.06;0;0;0.0286;0.0001;0.339;0.0016;105708;105918;135;0;101;0.031;-0.014;72362644;0.0286;0.0001;0.339;0.0016;0.703;39.852;0;-0.28;0;218.758;219.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
