ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
72208468;11.8;28.5;0;0;0;-75.4;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;45;0;101;0.003;-0.002;72208365;0.0212;0;0.2518;0.0003;0.695;39.394;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208482;11.8;28.5;0;0;0;-75.7;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;45.0039;0;101;0.003;-0.001;72208469;0.0212;0;0.2518;0.0003;0.695;39.396;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208519;11.8;28.5;0;0;0;-75.8;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;44.9863;0;101;0.003;-0.002;72208483;0.0212;0;0.2518;0.0003;0.695;39.396;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208550;11.8;28.5;0;0;0;-75.5;0;0;0;0;0;-0.001;0.0212;0;0.2518;0.0003;83704;83904;45;0;101;0.004;-0.001;72208520;0.0212;0;0.2518;0.0003;0.695;39.396;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208580;11.8;28.5;0;0;0;-75;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;44.9658;0;101;0.003;-0.002;72208550;0.0212;0;0.2518;0.0003;0.695;39.396;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208612;11.8;28.5;0;0;0;-74.7;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;44.9795;0;101;0.004;-0.001;72208581;0.0212;0;0.2518;0.0003;0.695;39.397;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208641;11.8;28.5;0;0;0;-74.9;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;45;0;101;0.004;-0.002;72208612;0.0212;0;0.2518;0.0003;0.695;39.398;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208673;11.8;28.5;0;0;0;-74.7;0;0;0;0;0;-0.001;0.0212;0;0.2518;0.0003;83704;83904;45;0;101;0.004;-0.001;72208642;0.0212;0;0.2518;0.0003;0.695;39.398;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208705;11.8;28.5;0;0;0;-74.9;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;45.0039;0;101;0.004;-0.001;72208673;0.0212;0;0.2518;0.0003;0.695;39.398;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72208735;11.8;28.5;0;0;0;-74.9;0;0;0;0;0;0;0.0212;0;0.2518;0.0003;83704;83904;45;0;101;0.004;-0.002;72208705;0.0212;0;0.2518;0.0003;0.695;39.398;0;0;0;173.222;173.636;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
