ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
72693401;11.8;30.4;0;0;0;-75.4;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;45;0;101;0.003;-0.002;72693310;0.0442;0.0001;0.5234;0.0023;0.697;39.47;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693424;11.8;30.4;0;0;0;-75.7;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;45;0;101;0.004;-0.001;72693401;0.0442;0.0001;0.5234;0.0023;0.697;39.47;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693457;11.8;30.4;0;0;0;-75.7;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;45;0;101;0.003;-0.001;72693425;0.0442;0.0001;0.5234;0.0023;0.697;39.469;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693488;11.8;30.4;0;0;0;-75.6;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;44.9863;0;101;0.004;-0.001;72693457;0.0442;0.0001;0.5234;0.0023;0.697;39.469;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693519;11.8;30.4;0;0;0;-75.5;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;44.9971;0;101;0.003;-0.001;72693488;0.0442;0.0001;0.5234;0.0023;0.697;39.469;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693550;11.8;30.4;0;0;0;-75.5;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;44.9863;0;101;0.003;-0.001;72693519;0.0442;0.0001;0.5234;0.0023;0.697;39.468;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693582;11.8;30.3;0;0;0;-75.8;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;45;0;101;0.003;-0.001;72693550;0.0442;0.0001;0.5234;0.0023;0.697;39.467;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693616;11.8;30.4;0;0;0;-75.8;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;44.9697;0;101;0.003;-0.001;72693582;0.0442;0.0001;0.5234;0.0023;0.697;39.467;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693645;11.8;30.4;0;0;0;-75.9;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;44.9863;0;101;0.003;-0.001;72693616;0.0442;0.0001;0.5234;0.0023;0.697;39.467;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72693676;11.8;30.4;0;0;0;-76;0;0;0;0;0;0;0.0442;0.0001;0.5234;0.0023;167362;167596;45;0;101;0.003;-0.001;72693645;0.0442;0.0001;0.5234;0.0023;0.697;39.467;0;0;0;346.349;346.833;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
