ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
72760541;11.8;30.3;0;0;0;-75.5;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45.0039;0;101;0.004;-0.001;72760428;0.0487;0.0001;0.5765;0.0023;0.694;39.301;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760581;11.8;30.3;0;0;0;-74.8;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45.0118;0;101;0.004;-0.001;72760542;0.0487;0.0001;0.5765;0.0023;0.694;39.3;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760611;11.8;30.3;0;0;0;-74.6;0;0;0;0;0;-0.001;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760581;0.0487;0.0001;0.5765;0.0023;0.694;39.3;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760647;11.8;30.3;0;0;0;-74.6;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760612;0.0487;0.0001;0.5765;0.0023;0.694;39.3;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760673;11.8;30.3;0;0;0;-74.8;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760648;0.0487;0.0001;0.5765;0.0023;0.694;39.3;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760705;11.8;30.3;0;0;0;-74.7;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760674;0.0487;0.0001;0.5765;0.0023;0.694;39.299;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760737;11.8;30.3;0;0;0;-74.6;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760706;0.0487;0.0001;0.5765;0.0023;0.694;39.298;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760771;11.8;30.3;0;0;0;-74.9;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760737;0.0487;0.0001;0.5765;0.0023;0.694;39.298;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760800;11.8;30.3;0;0;0;-74.8;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9658;0;101;0.004;-0.002;72760771;0.0487;0.0001;0.5765;0.0023;0.694;39.298;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760831;11.8;30.3;0;0;0;-74.8;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.005;-0.001;72760801;0.0487;0.0001;0.5765;0.0023;0.694;39.297;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760864;11.8;30.3;0;0;0;-75.3;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9931;0;101;0.004;-0.002;72760831;0.0487;0.0001;0.5765;0.0023;0.694;39.297;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760894;11.8;30.3;0;0;0;-75.5;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9423;0;101;0.004;-0.002;72760865;0.0487;0.0001;0.5765;0.0023;0.694;39.296;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760927;11.8;30.3;0;0;0;-75.5;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9315;0;101;0.003;-0.002;72760894;0.0487;0.0001;0.5765;0.0023;0.694;39.296;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760960;11.8;30.3;0;0;0;-75.3;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760928;0.0487;0.0001;0.5765;0.0023;0.694;39.295;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72760993;11.8;30.3;0;0;0;-75;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9794;0;101;0.004;-0.001;72760961;0.0487;0.0001;0.5765;0.0023;0.694;39.295;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761026;11.8;30.3;0;0;0;-74.6;0;0;0;0;0;-0.001;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72760993;0.0487;0.0001;0.5765;0.0023;0.694;39.294;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761060;11.8;30.3;0;0;0;-75;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72761027;0.0487;0.0001;0.5765;0.0023;0.694;39.294;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761093;11.8;30.3;0;0;0;-75.5;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45;0;101;0.004;-0.001;72761060;0.0487;0.0001;0.5765;0.0023;0.694;39.293;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761126;11.8;30.3;0;0;0;-75.5;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;45.0079;0;101;0.004;-0.001;72761093;0.0487;0.0001;0.5765;0.0023;0.694;39.293;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761160;11.8;30.3;0;0;0;-75.3;0;0;0;0;0;-0.001;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9834;0;101;0.004;-0.001;72761126;0.0487;0.0001;0.5765;0.0023;0.694;39.292;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761177;11.8;30.3;0;0;0;-75.7;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9863;0;101;0.003;-0.001;72761160;0.0487;0.0001;0.5765;0.0023;0.694;39.291;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761211;11.8;30.3;0;0;0;-75.7;0;0;0;0;0;0;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9726;0;101;0.004;-0.001;72761179;0.0487;0.0001;0.5765;0.0023;0.694;39.291;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72761243;11.8;30.3;0;0;0;-75.3;0;0;0;0;0;-0.001;0.0487;0.0001;0.5765;0.0023;185698;185946;44.9863;0;101;0.003;-0.001;72761212;0.0487;0.0001;0.5765;0.0023;0.694;39.29;0;0;0;384.294;384.808;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
