T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0;-2.49817;2.337;0.161172;0.0150879;0;0;2.84066;0.0754395;266.4;
6.66667e-05;-2.49817;2.57875;-0.080586;0.0150879;-0.0150879;0;2.97161;0.0301758;263.52;
0.000133333;-2.49817;2.98168;-0.483516;0.0150879;0;0.0150879;3.23352;0.0603516;262.08;
0.0002;-2.82051;3.54579;-0.725275;0.0150879;0;0;3.7674;0.0754395;259.2;
0.000266667;-3.06227;4.27106;-1.20879;0.0150879;-0.0150879;0;4.42216;0.0301758;257.76;
0.000333333;-3.62637;4.99634;-1.36996;0.0150879;-0.0150879;0.0301758;5.18773;0.0905273;254.88;
0.0004;-3.86813;5.56044;-1.69231;0.0150879;-0.0150879;0.0150879;5.72161;0.0301758;253.44;
0.000466667;-4.43223;5.56044;-1.1282;0.0150879;-0.0150879;0.0150879;5.90293;0.0150879;252;
0.000533333;-4.19048;5.88278;-1.69231;0.0150879;0;-0.0150879;6.07418;0.0150879;249.12;
0.0006;-4.19048;5.96337;-1.77289;0.0150879;0;0.0150879;6.14469;0.0150879;247.68;
0.000666667;-4.67399;6.12454;-1.45055;0.0150879;-0.0150879;0.0150879;6.42674;0.0754395;244.8;
0.000733333;-5.23809;5.96337;-0.725275;0.0150879;-0.0150879;0.0150879;6.53755;0.0905273;243.36;
0.0008;-5.88278;6.12454;-0.241758;0.0150879;-0.0150879;0;6.9707;0.0452637;241.92;
0.000866667;-6.3663;5.72161;0.644689;0.0301758;0;0;7.05128;0;240.48;
0.000933333;-7.09157;5.07692;2.01465;0.0150879;0;-0.0150879;7.36355;0.0754395;237.6;
0.001;-7.4945;4.27106;3.22344;0.0301758;0;0;7.57509;0.0150879;236.16;
0.00106667;-7.01099;3.94872;3.06227;0.0301758;0;-0.0150879;7.09157;0.0452637;234.72;
0.00113333;-6.84982;3.94872;2.9011;0.0150879;0;0;6.94048;0.0301758;231.84;
