T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0;10.9597;-7.25275;-3.70696;0;0.0150879;0.0150879;11.1813;0.0754395;54.72;
6.66667e-05;11.0403;-6.20513;-4.83517;0;0;0.0150879;11.1007;0.0301758;51.84;
0.000133333;10.3956;-5.23809;-5.15751;-0.0150879;0;0.0150879;10.4158;0.0905273;48.96;
0.0002;9.18681;-4.51282;-4.67399;0;0;0.0301758;9.20696;0;46.08;
0.000266667;7.57509;-3.4652;-4.10989;0;0;0;7.60531;0.0754395;41.76;
0.000333333;5.96337;-2.41758;-3.54579;0;0;0.0150879;6.01374;0.0603516;38.88;
0.0004;4.19048;-1.36996;-2.82051;0;0;0;4.28114;0.0301758;36;
0.000466667;2.09524;-0.886447;-1.20879;0.0301758;0;0;2.11538;0.0301758;33.12;
0.000533333;1.12821;-1.04762;-0.0805861;0.0150879;0;0;1.29945;0.0905273;28.8;
0.0006;-0.40293;-1.20879;1.61172;0.0150879;0;-0.0150879;1.80311;0.0301758;25.92;
0.000666667;-2.17582;-1.45055;3.62637;0.0150879;0;0;3.77747;0.0754395;23.04;
0.000733333;-3.22344;-1.45055;4.67399;0.0150879;0;0;4.90568;0.0754395;18.72;
0.0008;-3.94872;-1.85348;5.8022;0;0;0;6.05403;0.0301758;15.84;
0.000866667;-4.59341;-2.9011;7.4945;0.0301758;0;0;7.6859;0.0150879;12.96;
0.000933333;-4.67399;-4.27106;8.94505;0.0150879;0;0;9.07601;0.0754395;10.08;
0.001;-4.35165;-5.56044;9.91209;0.0150879;0.0150879;-0.0150879;10.0632;0.0150879;7.2;
0.00106667;-4.0293;-6.28571;10.315;0.0150879;0.0150879;-0.0150879;10.5266;0.0150879;4.32;
0.00113333;-3.14286;-7.09157;10.2344;0.0150879;0;-0.0150879;10.6071;0.0754395;2.88;
0.0012;-1.04762;-8.62271;9.67033;0.0150879;0;-0.0150879;10.728;0.0150879;0;
0.00126667;1.45055;-9.91209;8.46154;0;0;0;10.7784;0.0754395;357.12;
0.00133333;4.19048;-10.8791;6.68864;0.0150879;0.0150879;0;11.0403;0.0301758;354.24;
0.0014;5.8022;-10.7985;4.99634;0.0150879;0.0150879;0;10.869;0.0150879;351.36;
0.00146667;5.15751;-9.91209;4.75458;0.0150879;0.0150879;-0.0150879;9.9826;0.0452637;348.48;
0.00153333;4.51282;-8.38095;3.86813;0;0;0;8.45146;0.0905273;344.16;
0.0016;3.70696;-6.52747;2.82051;0;0.0150879;0;6.60806;0.0150879;341.28;
0.00166667;2.65934;-4.59341;1.93407;0.0150879;0.0150879;0;4.67399;0.0150879;336.96;
0.00173333;1.36996;-2.57875;1.20879;0.0150879;0;0;2.64927;0.0754395;334.08;
0.0018;0.322344;-1.12821;0.805861;0.0150879;0;0;1.22894;0.0150879;331.2;
0.00186667;-1.20879;0.40293;0.805861;0.0301758;0;-0.0150879;1.28938;0.0150879;326.88;
0.00193333;-2.98168;2.09524;0.886447;0.0150879;0;0;3.11264;0.0754395;324;
0.002;-3.94872;3.4652;0.483516;0.0150879;-0.0150879;0;4.35165;0.0150879;321.12;
0.00206667;-4.99634;4.35165;0.644689;0.0301758;0;0;5.47985;0.0150879;318.24;
0.00213333;-6.20513;4.83516;1.36996;0.0150879;0;0;6.56777;0.0754395;315.36;
0.0022;-7.4945;5.07692;2.41758;0.0150879;0;0.0150879;7.70604;0.0150879;312.48;
0.00226667;-8.78388;4.99634;3.78755;0.0150879;-0.0150879;0;8.87454;0.0754395;309.6;
0.00233333;-9.99267;4.67399;5.31868;0.0301758;-0.0150879;0;10.0632;0.0301758;306.72;
0.0024;-10.3956;3.4652;6.9304;0.0301758;0;0;10.6575;0.0150879;303.84;
0.00246667;-10.2344;1.53114;8.7033;0.0301758;0;0;11.1108;0.0603516;300.96;
0.00253333;-9.2674;-0.886447;10.1538;0.0301758;0;-0.0150879;11.3626;0.0754395;298.08;
0.0026;-7.89744;-3.62637;11.5238;0.0150879;0.0150879;-0.0150879;11.9066;0.0754395;295.2;
0.00266667;-6.3663;-5.31868;11.685;0.0301758;0.0150879;-0.0150879;11.826;0.0150879;292.32;
0.00273333;-5.8022;-5.15751;10.9597;0.0301758;0.0150879;-0.0150879;11.0907;0.0452637;289.44;
0.0028;-4.99634;-4.59341;9.58974;0.0301758;0;0;9.7207;0.0150879;286.56;
0.00286667;-3.78755;-3.78755;7.57509;0.0150879;0;-0.0150879;7.69597;0.0301758;282.24;
0.00293333;-2.57875;-2.82051;5.39927;0;0;0;5.53022;0.0905273;279.36;
0.003;-1.20879;-1.77289;2.98168;0.0150879;0;0;3.12271;0.0301758;275.04;
0.00306667;-0.644689;-0.725275;1.36996;0.0150879;0;0;1.50092;0.0150879;272.16;
0.00313333;-0.40293;0.564103;-0.161172;0.0150879;0;0;0.604396;0.0754395;269.28;
0.0032;-0.40293;2.17582;-1.77289;0.0150879;0;0.0150879;2.2967;0.0150879;266.4;
0.00326667;-0.564103;3.62637;-3.06227;0.0150879;-0.0150879;0.0150879;3.88828;0.0754395;263.52;
0.00333333;-0.564103;4.35165;-3.78755;0;0;0.0150879;4.71429;0.0603516;260.64;
0.0034;-1.04762;5.15751;-4.10989;0.0150879;-0.0150879;0.0150879;5.43956;0.0150879;257.76;
0.00346667;-1.69231;6.3663;-4.67399;0.0150879;0;0.0150879;6.58791;0.0754395;253.44;
0.00353333;-3.06227;7.73626;-4.67399;0.0150879;-0.0150879;0.0150879;7.78663;0.0603516;250.56;
0.0036;-4.43223;9.02564;-4.59341;0.0150879;0;0.0150879;9.03571;0.0150879;247.68;
0.00366667;-5.88278;9.99267;-4.10989;0.0150879;-0.0150879;0;10.0632;0.0301758;246.24;
0.00373333;-6.68864;9.8315;-3.14286;0.0150879;0;0.0150879;10.0632;0.0754395;243.36;
0.0038;-7.81685;9.50916;-1.69231;0.0301758;-0.0150879;0;10.174;0.0301758;240.48;
0.00386667;-9.10623;8.54212;0.564103;0.0301758;0;0;10.2546;0.0150879;237.6;
0.00393333;-10.4762;6.9304;3.54579;0.0301758;0;0;10.7179;0.0603516;234.72;
0.004;-10.6374;5.15751;5.47985;0.0301758;0;0;10.7079;0.0150879;231.84;
0.00406667;-10.2344;4.59341;5.64103;0.0301758;0;-0.0150879;10.315;0.0301758;228.96;
0.00413333;-8.78388;3.94872;4.83516;0.0301758;0;0;8.86447;0.0603516;226.08;
0.0042;-6.9304;3.06227;3.86813;0.0150879;0;-0.0150879;7.01099;0.0301758;221.76;
0.00426667;-5.23809;2.09524;3.14286;0.0301758;0;0;5.33883;0.0754395;218.88;
0.00433333;-3.30403;1.12821;2.17582;0.0150879;0.0150879;0;3.42491;0.0301758;216;
0.0044;-2.337;0.805861;1.53114;0.0150879;0;0.0150879;2.43773;0.0150879;213.12;
0.00446667;-1.36996;0.725275;0.644689;0;0;0;1.4304;0.0754395;208.8;
0.00453333;0.322344;1.12821;-1.45055;0.0150879;0;0.0150879;1.54121;0.0603516;205.92;
0.0046;2.01465;1.45055;-3.4652;0.0150879;-0.0150879;0.0150879;3.50549;0.0150879;203.04;
0.00466667;2.98168;1.28938;-4.27106;0.0150879;0;0.0150879;4.40201;0.0150879;200.16;
0.00473333;3.86813;1.69231;-5.56044;0;0;0;5.72161;0.0905273;195.84;
0.0048;4.35165;2.41758;-6.76923;0;-0.0150879;0.0150879;6.89011;0.0452637;192.96;
0.00486667;4.59341;3.38462;-7.97802;-0.0150879;0;0.0150879;8.02839;0.0150879;190.08;
0.00493333;4.51282;5.31868;-9.8315;0;0;0.0150879;9.86172;0.0754395;188.64;
0.005;3.62637;6.68864;-10.315;0;-0.0150879;0.0150879;10.4863;0.0150879;185.76;
0.00506667;2.73993;7.65568;-10.3956;0;-0.0150879;0.0150879;10.7985;0.0452637;182.88;
0.00513333;0.805861;8.86447;-9.67033;0;0;0.0150879;10.7482;0.0603516;180;
0.0052;-1.53114;10.2344;-8.7033;0.0150879;-0.0150879;0;11.0201;0.0150879;178.56;
0.00526667;-4.27106;11.4432;-7.17216;0.0150879;-0.0150879;0.0150879;11.5641;0.0754395;175.68;
0.00533333;-5.07692;11.2015;-6.12454;0.0301758;-0.0150879;-0.0150879;11.2216;0.0452637;172.8;
0.0054;-4.91575;10.2344;-5.31868;0.0150879;-0.0150879;0;10.2445;0.0301758;168.48;
0.00546667;-4.43223;9.10623;-4.67399;0.0150879;-0.0150879;0;9.1163;0.0905273;165.6;
0.00553333;-3.94872;7.4945;-3.54579;0.0150879;-0.0150879;0;7.50458;0.0754395;162.72;
0.0056;-2.9011;5.47985;-2.57875;0.0150879;-0.0150879;0;5.48993;0.0301758;158.4;
0.00566667;-1.85348;3.38462;-1.53114;0.0150879;-0.0150879;0;3.40476;0.0301758;155.52;
0.00573333;-0.886447;1.77289;-0.886447;0.0150879;0;0;1.78297;0.0905273;151.2;
0.0058;0.40293;0.40293;-0.805861;0.0150879;0;0;0.83608;0.0301758;148.32;
0.00586667;2.49817;-1.12821;-1.36996;0.0150879;-0.0150879;0;2.51831;0.0452637;145.44;
0.00593333;3.94872;-2.98168;-0.967033;0;0;0.0150879;4.15018;0.0754395;142.56;
0.006;4.59341;-3.78755;-0.805861;0;0;0;4.94597;0.0301758;139.68;
0.00606667;5.64103;-4.59341;-1.04762;0.0150879;0;0.0150879;6.04396;0.0150879;135.36;
0.00613333;7.01099;-4.91575;-2.09524;0;0;0.0150879;7.2326;0.0754395;132.48;
0.0062;8.38095;-4.83516;-3.54579;0.0150879;0;0.0150879;8.44139;0.0150879;131.04;
0.00626667;9.75092;-4.43223;-5.31868;-0.0150879;0;0.0150879;9.78113;0.0754395;128.16;
0.00633333;10.315;-3.86813;-6.44689;0;0;0.0301758;10.4359;0;125.28;
0.0064;10.0733;-2.41758;-7.65568;0;0.0150879;0.0150879;10.5165;0.0150879;122.4;
0.00646667;9.18681;0;-9.18681;-0.0150879;0;0.0150879;10.6374;0.0905273;119.52;
0.00653333;8.30037;2.73993;-11.0403;0;0;0.0150879;11.5238;0.0603516;116.64;
0.0066;6.44689;4.99634;-11.4432;0.0150879;0;0.0150879;11.5037;0.0150879;113.76;
0.00666667;5.31868;5.47985;-10.7985;0.0150879;0;0.0150879;10.8288;0.0452637;110.88;
0.00673333;4.67399;5.15751;-9.8315;0;-0.0150879;0.0150879;9.86172;0.0754395;108;
0.0068;3.70696;4.35165;-8.05861;0.0150879;0;0.0150879;8.08883;0.0150879;103.68;
0.00686667;2.41758;3.54579;-5.96337;0.0150879;0;0.0150879;6.02381;0.0150879;100.8;
